time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-09-03 00:00:00,,,,,,,,,,,
2024-09-03 01:00:00,,,,,,,,,,,
2024-09-03 02:00:00,26.9,13.6,44,,,129,18,,1018.6,,
2024-09-03 03:00:00,,,,,,,,,,,
2024-09-03 04:00:00,,,,,,,,,,,
2024-09-03 05:00:00,,,,,,,,,,,
2024-09-03 06:00:00,,,,,,,,,,,
2024-09-03 07:00:00,,,,,,,,,,,
2024-09-03 08:00:00,22.4,12.9,55,,,59,9.4,,1020.6,,
2024-09-03 09:00:00,,,,,,,,,,,
2024-09-03 10:00:00,,,,,,,,,,,
2024-09-03 11:00:00,,,,,,,,,,,
2024-09-03 12:00:00,,,,,,,,,,,
2024-09-03 13:00:00,,,,,,,,,,,
2024-09-03 14:00:00,32,11.2,28,,,133,8.6,,1018.8,,
2024-09-03 15:00:00,,,,,,,,,,,
2024-09-03 16:00:00,,,,,,,,,,,
2024-09-03 17:00:00,,,,,,,,,,,
2024-09-03 18:00:00,,,,,,,,,,,
2024-09-03 19:00:00,,,,,,,,,,,
2024-09-03 20:00:00,,,,,,,,,,,
2024-09-03 21:00:00,,,,,,,,,,,
2024-09-03 22:00:00,,,,,,,,,,,
2024-09-03 23:00:00,,,,,,,,,,,
2024-09-04 00:00:00,,,,,,,,,,,
2024-09-04 01:00:00,,,,,,,,,,,
2024-09-04 02:00:00,,,,,,,,,,,
2024-09-04 03:00:00,,,,,,,,,,,
2024-09-04 04:00:00,,,,,,,,,,,
2024-09-04 05:00:00,17.5,13,75,,,39,19.1,,1014.4,,
2024-09-04 06:00:00,17.3,13.4,78,0,,24,14,,1014.4,,3
2024-09-04 07:00:00,16.5,13.8,84,0,,24,14,,1014.6,,1
2024-09-04 08:00:00,16.6,13.3,81,0,,30,14.8,,1015,,1
2024-09-04 09:00:00,17.8,12.9,73,0,,31,16.2,,1015.6,,1
2024-09-04 10:00:00,19.3,12.6,65,0,,40,20.5,,1015.9,,1
2024-09-04 11:00:00,20.8,12.2,58,0,,43,22,,1016.3,,3
2024-09-04 12:00:00,22.1,11.8,52,0,,41,18.4,,1016.1,,3
2024-09-04 13:00:00,23.3,11.7,48,0,,37,15.8,,1015.8,,3
2024-09-04 14:00:00,24.4,11.4,44,0,,27,14,,1015.2,,2
2024-09-04 15:00:00,25,10.5,40,0,,33,16.6,,1014.8,,2
2024-09-04 16:00:00,25.5,10.1,38,0,,15,16.9,,1014.4,,2
2024-09-04 17:00:00,25.4,10.1,38,0,,3,15.5,,1014,,2
2024-09-04 18:00:00,25.3,9.6,37,0,,8,13.3,,1013.8,,2
2024-09-04 19:00:00,25.2,8.7,35,0,,26,13.3,,1013.3,,3
2024-09-04 20:00:00,24.1,7.7,35,0,,46,17.6,,1013.3,,3
2024-09-04 21:00:00,21.6,8.1,42,0,,29,22.7,,1014.3,,3
2024-09-04 22:00:00,20.1,8.4,47,0,,25,20.2,,1015.3,,2
2024-09-04 23:00:00,19.1,8.1,49,0,,36,18,,1015.9,,1
2024-09-05 00:00:00,18.3,8.6,53,0,,48,15.1,,1016,,1
2024-09-05 01:00:00,17.8,9.4,58,0,,56,15.5,,1016.1,,1
2024-09-05 02:00:00,16.9,9.8,63,0,,57,13,,1016,,1
2024-09-05 03:00:00,16,9.9,67,0,,52,11.2,,1015.9,,1
2024-09-05 04:00:00,15,10,72,0,,34,10.8,,1015.5,,1
2024-09-05 05:00:00,14.3,9.7,74,0,,27,11.5,,1015.4,,2
2024-09-05 06:00:00,13.9,9.5,75,0,,35,10.8,,1015.1,,3
